use_case,module,title,scientific_question,primary_inputs,data_inputs_summary,support_tier,decision_support_role,relevance_to_aliphatic,relevance_to_polyaromatic,relevance_to_metal_constraint,recommended_for_report,priority_rank,source_path
UC 8.1,Module 8,UC-8.1 â€” Minimal Sample Grouping for Complete Compound Coverage,"What is the minimum number of distinct compound co-annotation profiles (i.e., groups of samples with identical compound co-annotation sets) required to collectively cover all observed compound co-annotations within a given chemical class?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“compound associations),- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundclass` â€“ chemical class to which a compound belongs - `compoundname` â€“ name of the chemical compound interacted with by the sample - **Core concept: Annotation Groups** An **annotation group** is defined as a group of samples that share the **exact same set of compound co-annotations** within a selected chemical class. Samples within the same group have identical annotation profiles with respect to that class.,Central reference,Caso central ja usado para modelar cobertura minima e guildas funcionais dos consorcios.,Referencia central.,Referencia central.,Referencia central para restricao pela imagem UC8.1_METAL.png.,FALSE,0,docs\use_cases\module8\uc_8.1.md
UC 8.2,Module 8,UC-8.2 â€” BioRemPP Chemical Class Completeness Scorecard,"Which samples have the most ""complete"" KO annotation coverage for a given chemical class, and how can this be used to identify samples with high annotation completeness?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“KOâ€“compound class associations),"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology (KO) identifier - `compoundclass` â€“ chemical class associated with the KOâ€“sample interaction - **Scorecard structure:** - **Rows:** Samples - **Columns:** Compound Classes - **Cell value:** Completeness Score (%) for a given `(sample, compoundclass)` pair",Strong support,"Mede completude KO por classe quimica, validando profundidade funcional para Aliphatic e Polyaromatic.",Alta: mede completude da classe.,Alta: mede completude da classe.,Alta: pode confirmar completude dos membros Metal.,TRUE,1,docs\use_cases\module8\uc_8.2.md
UC 8.3,Module 8,UC-8.3 â€” Compound-Specific KO Completeness Scorecard,"For any given chemical compound, which sample has the most ""complete"" KO annotation coverage?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“KOâ€“compound associations),"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology (KO) identifier - `compoundname` â€“ chemical compound associated with the KOâ€“sample interaction - **Scorecard structure:** - **Rows:** Samples - **Columns:** Individual Compound Names - **Cell value:** KO Completeness Score (%) for each `(sample, compoundname)` pair",Strong support,"Mede completude KO por composto, validando compostos cobertos por cada consorcio.",Alta: identifica lacunas por composto alifatico.,Alta: identifica lacunas por composto poliaromatico.,Media a alta: aplica-se aos compostos Metal da restricao.,TRUE,2,docs\use_cases\module8\uc_8.3.md
UC 8.4,Module 8,UC-8.4 â€” HADEG Pathways Completeness Scorecard,"Which samples have the most ""complete"" KO annotation coverage for a given HADEG degradation pathway, and how can this be used to compare pathway-level annotation completeness across samples?",`HADEG_Results.xlsx or HADEG_Results.csv` (sampleâ€“KOâ€“pathway associations),"- **Primary data source:** `HADEG_Results.xlsx or HADEG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology (KO) identifier annotated for that sample - `compound_pathway` â€“ HADEG pathway label associated with the KO - **Scorecard structure:** - **Rows:** Samples - **Columns:** HADEG degradation pathways (`compound_pathway`) - **Cell value:** Pathway Completeness Score (%) for each `(sample, pathway)` pair",Strong support,"Mede completude por pathways HADEG, reforcando suporte de degradacao especializado.",Alta quando mapeado para Alkanes.,Alta quando mapeado para Aromatics.,Media.,TRUE,3,docs\use_cases\module8\uc_8.4.md
UC 8.5,Module 8,UC-8.5 â€” KEGG Pathways Completeness Scorecard,"Which samples have the most ""complete"" KO annotation coverage for a given KEGG metabolic pathway, and how can this be used to compare KO annotation completeness across samples?",`KEGG_Results.xlsx or KEGG_Results.csv` (sampleâ€“KOâ€“KEGG pathway associations),"- **Primary data source:** `KEGG_Results.xlsx or KEGG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology (KO) identifier - `pathname` â€“ KEGG pathway name or identifier associated with the KO - **Scorecard structure:** - **Rows:** Samples - **Columns:** KEGG Pathways (`pathname`) - **Cell value:** Pathway Completeness Score (%) for each `(sample, pathname)` pair",Strong support,"Mede completude por pathways KEGG, reforcando consistencia metabolica em banco externo.",Alta.,Alta.,Media.,TRUE,4,docs\use_cases\module8\uc_8.5.md
UC 8.6,Module 8,UC-8.6 â€” Pathway-Centric Consortium Design by KO Coverage,"For a specific metabolic pathway, how are its annotated KO identifiers distributed across different samples, and what does their overlap reveal about annotation redundancy and complementarity?",`HADEG_Results.xlsx or HADEG_Results.csv` (sampleâ€“KOâ€“pathway associations),- **Primary data source:** `HADEG_Results.xlsx or HADEG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology (KO) identifier annotated for that sample - `compound_pathway` â€“ HADEG pathway label associated with the KO - **Set-based elements:** - **Sets:** Individual `sample`s (each represented by the KOs it contributes to the selected pathway). - **Elements:** Unique **KOs required for that pathway** within the dataset.,Strong support,"Analisa cobertura e complementaridade de KOs por pathway, diretamente alinhada a desenho de consorcios.",Alta: valida complementaridade para pathways de hidrocarbonetos.,Alta: valida complementaridade para pathways aromaticos.,Media a alta.,TRUE,5,docs\use_cases\module8\uc_8.6.md
UC 8.7,Module 8,UC-8.7 â€” Sample-Sample KO Intersection Profile,"How many KO identifiers are shared across the selected samples, and which samples carry unique or rare KO annotations?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“KO associations),- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology (KO) identifier associated with that sample - **Set definition:** - **Sets:** Individual `sample`s (each represented by its KO repertoire) - **Elements:** Unique **KO identifiers** (`ko`) observed in the selected subset of samples - **User control:** - A **multi-select dropdown** allowing selection of **two or more samples** to include in the intersection analysis.,Strong support,"Quantifica intersecoes, KOs compartilhados e KOs unicos entre candidatos, validando redundancia e complementaridade.",Alta.,Alta.,Alta.,TRUE,6,docs\use_cases\module8\uc_8.7.md
UC 7.6,Module 7,UC-7.6 â€” Sample Risk Mitigation Breadth,"Which samples have the broadest compound co-annotation coverage, as measured by the variety of distinct high-risk compounds they are co-annotated with within each toxicological category?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“compound interactions) and `ToxCSM.xlsx or ToxCSM.csv` (predicted toxicity and categories),"- **Primary data sources:** - `BioRemPP_Results.xlsx or BioRemPP_Results.csv` â€“ KO annotation data linking samples and compounds - `ToxCSM.xlsx or ToxCSM.csv` â€“ predicted toxicity scores and qualitative labels for compounds - **Key columns:** - From `ToxCSM.xlsx or ToxCSM.csv`: - `compoundname` â€“ chemical compound name - `endpoint` / `label_*` â€“ endpoint-specific toxicity labels (e.g., ""High Toxicity"", ""High Safety"") - `supercategory` (derived) â€“ mapped toxicological category (e.g., Genomic, Environmental, Organic) - From `BioRemPP_Results.xlsx or BioRemPP_Results.csv`: - `sample` â€“ identifier for each biological sample - `compoundname` â€“ compound associated with the sample - **Hierarchy represented in the treemap:** - Level 1: **Sample** - Level 2: **Toxicity Category** (toxicological super-category) The quantitative value displayed is the **count of distinct high-risk com",Strong support,"Avalia amplitude de mitigacao de risco por amostra, diretamente util para validar candidatos contra compostos de alto risco.",Media a alta.,Alta.,Alta.,TRUE,7,docs\use_cases\module7\uc_7.6.md
UC 7.7,Module 7,UC-7.7 â€” Sample Risk Mitigation Depth,Which samples have the highest number of KO annotation co-occurrences linked to different categories of predicted toxicological risk?,`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“compoundâ€“gene interactions) and `ToxCSM.xlsx or ToxCSM.csv` (predicted toxicity and categories),"- **Primary data sources:** - `BioRemPP_Results.xlsx or BioRemPP_Results.csv` â€“ KO annotation data linking samples, compounds, and genes - `ToxCSM.xlsx or ToxCSM.csv` â€“ predicted toxicity scores and qualitative labels for compounds - **Key columns:** - From `BioRemPP_Results.xlsx or BioRemPP_Results.csv`: - `sample` â€“ identifier for each biological sample - `compoundname` â€“ name of the chemical compound - `genesymbol` â€“ gene symbol or identifier associated with the interaction - From `ToxCSM.xlsx or ToxCSM.csv`: - `compoundname` â€“ chemical compound name (to be matched with BioRemPP) - `endpoint` / `label_*` â€“ endpoint-specific toxicity labels (e.g., ""High Toxicity"", ""High Safety"") - `supercategory` (derived) â€“ mapped toxicological super-category (e.g., Genomic, Environmental, Organic) - **Hierarchy represented in the treemap:** - Level 1: **Sample** - Level 2: **Toxicity",Strong support,"Avalia profundidade de mitigacao de risco por KOs, complementando cobertura com intensidade anotacional.",Media a alta.,Alta.,Alta.,TRUE,8,docs\use_cases\module7\uc_7.7.md
UC 3.4,Module 3,UC-3.4 â€” Sample Similarity (Based on KO Profiles),How similar are the samples to one another in terms of their shared KEGG Orthology (KO) annotation profiles?,BioRemPP results table with `sample` and `ko` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology identifier associated with the sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** binary presence/absence matrix with: - rows = samples - columns = unique KOs - cell = `1` if the sample possesses that KO, `0` otherwise",Strong support,"Mede similaridade entre amostras por KOs, diretamente util para evitar consorcios redundantes demais.",Alta: valida complementaridade funcional dos membros.,Alta: valida complementaridade funcional dos membros.,Alta: compara membros do universo Metal oficial.,TRUE,9,docs\use_cases\module3\uc_3.4.md
